Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Length,Mean,Error,Allocated
ArgsortDouble_FirstIndex,Job-TPKMEW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,1,Default,1,Default,Default,Default,Default,Default,Default,1,1,256,23.100 μs,NA,4368 B
LexsortDouble_FirstIndex,Job-TPKMEW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,1,Default,1,Default,Default,Default,Default,Default,Default,1,1,256,28.700 μs,NA,4376 B
NonZeroDouble_IntoSpan,Job-TPKMEW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,1,Default,1,Default,Default,Default,Default,Default,Default,1,1,256,3.300 μs,NA,400 B
Where_IntoSpan,Job-TPKMEW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,1,Default,1,Default,Default,Default,Default,Default,Default,1,1,256,2.500 μs,NA,400 B
ArgsortDouble_FirstIndex,Job-TPKMEW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,1,Default,1,Default,Default,Default,Default,Default,Default,1,1,1024,112.100 μs,NA,13584 B
LexsortDouble_FirstIndex,Job-TPKMEW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,1,Default,1,Default,Default,Default,Default,Default,Default,1,1,1024,139.700 μs,NA,13592 B
NonZeroDouble_IntoSpan,Job-TPKMEW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,1,Default,1,Default,Default,Default,Default,Default,Default,1,1,1024,12.450 μs,NA,400 B
Where_IntoSpan,Job-TPKMEW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,1,Default,1,Default,Default,Default,Default,Default,Default,1,1,1024,9.800 μs,NA,400 B
ArgsortDouble_FirstIndex,Job-TPKMEW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,1,Default,1,Default,Default,Default,Default,Default,Default,1,1,4096,"1,265.900 μs",NA,50448 B
LexsortDouble_FirstIndex,Job-TPKMEW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,1,Default,1,Default,Default,Default,Default,Default,Default,1,1,4096,"1,544.100 μs",NA,50456 B
NonZeroDouble_IntoSpan,Job-TPKMEW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,1,Default,1,Default,Default,Default,Default,Default,Default,1,1,4096,300.300 μs,NA,400 B
Where_IntoSpan,Job-TPKMEW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,1,Default,1,Default,Default,Default,Default,Default,Default,1,1,4096,379.000 μs,NA,400 B
